competitionId,teamId,teamMarket,teamName,orbPct,drbPct,astPct,pace,ortg,drtg,ftaRate,tovPct,tovPctAgst,stlPct,blkPct
33533,103680,Hartford,Hawks,0.2707,0.68886,0.55235,65.185,96.26403,109.08462,0.23461,0.19142,0.16091,0.09859,0.10638
33533,103454,Chicago St.,Cougars,0.34208,0.68396,0.49868,65.544,106.85965,110.97718,0.31588,0.17415,0.14902,0.08561,0.07525
36046,103454,Chicago St.,Cougars,0.34213,0.65425,0.45914,66.325,104.37994,105.97568,0.37225,0.16644,0.18367,0.12971,0.08796
27168,103986,New Orleans,Privateers,0.30875,0.65393,0.53904,71.566,93.9943,102.7587,0.36814,0.20774,0.19361,0.11828,0.07123
27249,104053,Omaha,Mavericks,0.27176,0.67412,0.601,71.134,103.77532,108.21594,0.2892,0.16463,0.15641,0.08748,0.06811
27043,103967,NJIT,Highlanders,0.28687,0.68811,0.54121,67.43,106.92965,104.49598,0.36813,0.16606,0.16985,0.09513,0.10777
27168,103967,NJIT,Highlanders,0.35581,0.68198,0.53276,67.164,102.19533,93.53725,0.40672,0.17746,0.18875,0.12641,0.13499
27249,103454,Chicago St.,Cougars,0.30105,0.67578,0.46512,70.259,89.01318,109.2821,0.31236,0.20468,0.17316,0.10123,0.0934
27249,103705,Houston Christian,Huskies,0.3361,0.65048,0.47395,73.321,99.55037,105.68209,0.37849,0.17805,0.19933,0.1018,0.04243
27168,103389,CSU Bakersfield,Roadrunners,0.31637,0.70951,0.53521,66.439,100.72026,102.15137,0.35533,0.17768,0.19957,0.10915,0.05606
27168,104053,Omaha,Mavericks,0.25217,0.63074,0.49516,70.365,101.54485,116.81096,0.30011,0.18304,0.15422,0.09455,0.0674
27249,103826,Longwood,Lancers,0.24851,0.69065,0.58232,71.916,101.67998,116.91411,0.27874,0.16087,0.1359,0.07289,0.05569
27249,103389,CSU Bakersfield,Roadrunners,0.34851,0.6721,0.57687,65.014,104.81544,106.44623,0.35003,0.19103,0.20547,0.12278,0.10825
27168,103705,Houston Christian,Huskies,0.33152,0.68033,0.49017,68.381,92.01419,96.56383,0.36453,0.21108,0.19989,0.0995,0.06815
27249,104381,UTRGV,Vaqueros,0.2572,0.66229,0.62482,65.413,95.21297,104.81548,0.35561,0.20688,0.17501,0.07784,0.05122
27249,103999,North Dakota,Fighting Hawks,0.2843,0.70614,0.52625,67.264,99.63681,99.08147,0.39385,0.18692,0.18035,0.09611,0.11612
27249,103967,NJIT,Highlanders,0.29607,0.68959,0.52478,66.457,103.52537,100.70111,0.30897,0.16011,0.18238,0.10711,0.0877
27168,104391,Utah Valley,Wolverines,0.26083,0.70758,0.57755,64.049,102.83228,103.21367,0.31389,0.16383,0.15899,0.09651,0.07944
27168,104381,UTRGV,Vaqueros,0.29391,0.64776,0.55751,65.074,98.5848,101.11863,0.37828,0.1868,0.19376,0.10152,0.04851
27249,104391,Utah Valley,Wolverines,0.34477,0.71184,0.5409,66.211,104.30865,99.10453,0.35474,0.15771,0.1544,0.09697,0.09543
27168,103454,Chicago St.,Cougars,0.30246,0.67161,0.52246,66.918,95.59492,101.15018,0.25552,0.1825,0.21154,0.13843,0.08267
27043,103831,Louisville,Cardinals,0.37149,0.67295,0.54044,67.947,119.25053,89.97488,0.41219,0.12914,0.21584,0.14762,0.12455
27693,104370,UNC Asheville,Bulldogs,0.26801,0.66805,0.4635,68.98,104.44973,103.59592,0.30208,0.18741,0.17059,0.10058,0.10584
27693,103446,Charleston So.,Buccaneers,0.28195,0.6828,0.45417,69.123,94.16346,106.1479,0.30203,0.20533,0.16093,0.08827,0.10305
27693,104109,Presbyterian,Blue Hose,0.32552,0.72552,0.47094,65.59,97.23094,101.71004,0.34696,0.19463,0.20163,0.10644,0.06931
27693,104376,USC Upstate,Spartans,0.23852,0.70013,0.51301,67.695,97.30291,109.9555,0.29338,0.18501,0.16763,0.09176,0.0732
27693,103691,High Point,Panthers,0.31959,0.71805,0.51773,66.184,100.20694,105.02939,0.3832,0.16042,0.17769,0.09834,0.12586
