competitionId,priorCompetitionId,nextCompetitionId,competitionName,startYear,endYear,season,numberCompetitors,isCurrent,gender,includeInCareerStatistics,numberOfPeriods,periodLength,extraTime,extraTimeLength,transferKey,dataAvailable,featuredTournamentIds,startDateD1,endDateD1,startDateD2,endDateD2,startDateD3,endDateD3
27249,27387,27168,2011-12 Men's Basketball,2011,2012,2012,0,0,MALE,1,2,20,1,5,15,['box'],,2011-11-07,2012-04-02,2011-11-04,2012-03-24,2011-11-15,2012-03-17
27831,27550,27832,2011-12 Women's Basketball,2011,2012,2012,0,0,FEMALE,1,4,10,1,5,22,['box'],,2011-11-11,2012-03-28,2011-11-04,2012-03-23,2011-11-15,2012-03-17
27832,27831,27833,2012-13 Women's Basketball,2012,2013,2013,0,0,FEMALE,1,4,10,1,5,23,['box'],,2012-11-09,2013-03-31,2012-11-09,2013-03-29,2012-01-10,2013-03-16
27168,27249,27043,2012-13 Men's Basketball,2012,2013,2013,0,0,MALE,1,2,20,1,5,14,['box'],,2012-11-09,2013-04-08,2012-11-09,2013-04-07,2012-11-15,2013-04-07
27043,27168,24758,2013-14 Men's Basketball,2013,2014,2014,0,0,MALE,1,2,20,1,5,13,['box'],,2013-11-08,2014-04-07,2013-11-07,2014-03-29,2013-11-15,2014-03-22
27833,27832,24740,2013-14 Women's Basketball,2013,2014,2014,0,0,FEMALE,1,4,10,1,5,24,['box'],,2013-11-08,2014-03-25,2013-11-08,2014-03-17,2013-11-15,2014-03-22
24740,27833,24691,2014-15 Women's Basketball,2014,2015,2015,0,0,FEMALE,1,4,10,1,5,9,['box'],"{'d1': 258, 'd2': None, 'd3': None}",2014-11-14,2015-04-07,2014-01-03,2015-03-27,2014-11-02,2015-03-21
24758,27043,24732,2014-15 Men's Basketball,2014,2015,2015,0,0,MALE,1,2,20,1,5,10,['box'],,2014-11-14,2015-04-06,2014-11-13,2015-03-28,2014-11-14,2015-03-21
24732,24758,24594,2015-16 Men's Basketball,2015,2016,2016,0,0,MALE,1,2,20,1,5,8,['box'],,2015-11-13,2016-04-04,2015-10-30,2016-03-26,2015-11-13,2016-03-19
24691,24740,24624,2015-16 Women's Basketball,2015,2016,2016,0,0,FEMALE,1,4,10,1,5,7,['box'],,2015-11-13,2016-04-05,2015-10-30,2016-04-03,2015-11-13,2016-04-04
24594,24732,23625,2016-17 Men's Basketball,2016,2017,2017,0,0,MALE,1,2,20,1,5,5,['box'],,2016-11-11,2017-04-03,2016-11-04,2017-03-25,2016-11-15,2017-03-18
24624,24691,24445,2016-17 Women's Basketball,2016,2017,2017,0,0,FEMALE,1,4,10,1,5,6,['box'],"{'d1': 794, 'd2': None, 'd3': None}",2016-11-11,2017-04-02,2016-11-04,2017-03-24,2016-11-12,2017-03-18
24445,24624,22853,2017-18 Women's Basketball,2017,2018,2018,0,0,FEMALE,1,4,10,1,5,4,['box'],"{'d1': 793, 'd2': None, 'd3': None}",2017-11-10,2018-04-01,2017-11-03,2018-03-23,2017-11-11,2018-03-17
