key,tables,isKeeper,label1,label2,label3,label4,shortDesc,sign,unit,tipTitle,mainTip,teamTip,playerTip,isLabeled
_id,"pps,ppps,pgps,tpcs,tgs,pas,tas,taac,tgcs,tpps,tps,pgs,taps,paps,tgps,oo",FALSE,_id,_id,_id,_id,NA,neu,txt,_id,Unique identifier for row in a table,NA,NA,TRUE
actionNumber,pbptga,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
actionType,"pbptga,pssh,tssh",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
afgmScorer,taac,TRUE,aFGM,aFGM SCO,Scorer Assisted FGM,Scorer Assisted FGM,NA,pos,int,Scorer Total Assisted FGM,"Total number of baskets scored off an assist by this scorer, assisted by any teammates.",NA,NA,TRUE
allPct,taac,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
and1,"ppps,pgps,tpps,taps,paps,tgps",TRUE,And1s,And 1s,And 1s,And 1s,NA,pos,int,And 1s,The total number of times a shot was made while being fouled by a defender from the opposing team (total number of And 1s).,NA,NA,TRUE
and1P100,taps,TRUE,And1/100,And1/100,And 1s / 100 Poss,And 1s / 100 Poss,NA,pos,num,And 1s / 100 Poss,The number of and 1s (made shot + foul drawn) per 100 possessions.,NA,NA,TRUE
and1P40,"taps,paps",TRUE,And1/40,And1/40,And 1s / 40 Mins,And 1s / 40 Mins,NA,pos,num,And 1s / 40 Mins,The number of and 1s (made shot + foul drawn) per 40 minutes.,NA,NA,TRUE
and1Pct,"pgps,taps,paps,tgps",TRUE,And1%,And1%,And 1 Pct,And 1 Percentage,NA,pos,pct,And 1 Percentage,The percentage of shooting fouls drawn where the shot was made.,NA,NA,TRUE
and1Pct3P,"pgps,taps,paps,tgps",TRUE,3A1%,3And1%,And 1 Pct on SFL3,And 1 Percentage on 3P SFLs,NA,pos,pct,And 1 Percentage (On 3-Point Shooting Foul),The percentage of 3-point shooting fouls drawn where the shot was made.,NA,NA,TRUE
and1Pg,"taps,paps",TRUE,And1/G,And1/G,And 1s / Game,And 1s / Game,NA,pos,num,And 1s / Game,The number of and 1s (made shot + foul drawn) per game.,NA,NA,TRUE
and1on2s,"pgps,taps,tgps",TRUE,2A1s,2P And 1s,And 1s on SFL2,And 1s on 2P SFLs,NA,pos,int,And 1s Made (On 2-Point Shooting Foul),The total number of times a 2-point shot was made while being fouled by a defender from the opposing team (total number of And 1s made on 2-point shooting fouls).,NA,NA,TRUE
and1on3s,"ppps,pgps,tpps,taps,paps,tgps",TRUE,3A1s,3P And 1s,And 1s on SFL3,And 1s on 3P SFLs,NA,pos,int,And 1s Made (On 3-Point Shooting Foul),The total number of times a 3-point shot was made while being fouled by a defender from the opposing team (total number of And 1s made on 3-point shooting fouls).,NA,NA,TRUE
aoopAst,"ppps,pgps,paps",TRUE,AST,OOP AST,Alley-Oop Assists,Alley-Oop Assists,NA,pos,int,Alley-Oop Assists,NA,NA,The total number of alley-oops assisted by the player.,TRUE
aoopAstP40,paps,TRUE,AST/40,OOP AST/40,Alley-Oop Assists / 40 Mins,Alley-Oop Assists / 40 Mins,NA,pos,num,Alley-Oop Assists / 40 Mins,NA,NA,"The number of alley-oops assisted by the player, per 40 minutes played.",TRUE
aoopAstPg,paps,TRUE,AST/G,OOP AST/G,Alley-Oop Assists / Game,Alley-Oop Assists / Game,NA,pos,num,Alley-Oop Assists / Game,NA,NA,"The number of alley-oops assisted by the player, per game.",TRUE
aoopFgPct,"taps,paps",TRUE,FG%,OOP FG%,Alley-Oop FG%,Alley-Oop FG%,NA,pos,pct,Alley-Oop FG%,NA,Field goal percentage on alley-oops.,Field goal percentage on alley-oops.,TRUE
aoopFga,"pgps,taps,paps,tgps",TRUE,FGA,OOP FGA,Alley-Oop Field Goals Attempted,Alley-Oop Field Goals Attempted,NA,pos,int,Alley-Oop Field Goals Attempted,NA,The total number of alley-oop field goal attempts by the team.,The total number of alley-oop field goal attempts by the player.,TRUE
aoopFgaFreq,"taps,paps",TRUE,FGA%,OOP FGA%,Alley-Oop % of Shots,Alley-Oop % of Shots,NA,pos,pct,Alley-Oop % of Shots,NA,The percentage of shots taken that were alley-oop dunk attempts.,The percentage of shots taken that were alley-oop dunk attempts.,TRUE
