isOffense,competitionId,teamId,teamMarket,teamName,pfPct,freqChncTr,atr2FgPct,atr2FgaFreq,paint2FgPct,paint2FgaFreq,mid2FgPct,mid2FgaFreq,lane2FgaFreq,lane2FgPct,fga3Rate,fg3Pct
True,27693,104407,Virginia Tech,Hokies,0.2491,0.1157,0.6322,0.296,0.4388,0.1581,0.355,0.1363,0.454,0.5648,0.40968,0.35433
False,27693,104407,Virginia Tech,Hokies,0.2629,0.1323,0.5988,0.276,0.3945,0.1802,0.3797,0.1545,0.4562,0.5181,0.38926,0.33121
False,27693,104413,Wake Forest,Demon Deacons,0.2254,0.167,0.7067,0.2951,0.4198,0.1748,0.3,0.1649,0.4699,0.6,0.36521,0.37698
True,27693,104413,Wake Forest,Demon Deacons,0.2494,0.1097,0.5863,0.2512,0.3649,0.1817,0.3435,0.1072,0.4329,0.4934,0.4599,0.34698
False,27693,104405,Virginia,Cavaliers,0.2041,0.1104,0.6227,0.2466,0.3609,0.2284,0.3535,0.1498,0.475,0.4968,0.37519,0.33871
True,27693,104405,Virginia,Cavaliers,0.2154,0.0819,0.6768,0.2474,0.4366,0.1606,0.4658,0.1652,0.408,0.5823,0.42685,0.37456
False,27693,103966,NC State,Wolfpack,0.2548,0.152,0.6658,0.2749,0.4222,0.2226,0.3645,0.1512,0.4975,0.5568,0.35124,0.34205
True,27693,103966,NC State,Wolfpack,0.2376,0.1655,0.6939,0.3004,0.4314,0.2147,0.3304,0.1593,0.5151,0.5845,0.32561,0.35991
True,27693,104026,Notre Dame,Fighting Irish,0.194,0.1273,0.747,0.2218,0.4399,0.1968,0.3211,0.1474,0.4185,0.6026,0.43408,0.3676
False,27693,104026,Notre Dame,Fighting Irish,0.2289,0.1213,0.6332,0.2276,0.4116,0.2378,0.3938,0.1754,0.4655,0.52,0.35916,0.36622
False,27693,103616,Florida St.,Seminoles,0.2411,0.1491,0.5695,0.2505,0.3639,0.2157,0.3431,0.1392,0.4662,0.4744,0.39454,0.32526
True,27693,103616,Florida St.,Seminoles,0.2666,0.1927,0.6736,0.2977,0.4385,0.217,0.3467,0.1362,0.5147,0.5745,0.34908,0.37647
True,27693,103647,Georgia Tech,Yellow Jackets,0.2312,0.1676,0.6862,0.3159,0.4558,0.1943,0.356,0.1262,0.5102,0.5984,0.36352,0.34909
False,27693,103647,Georgia Tech,Yellow Jackets,0.2221,0.1473,0.6332,0.3148,0.3938,0.178,0.3919,0.1526,0.4928,0.5467,0.35464,0.36628
False,27693,103899,Miami (FL),Hurricanes,0.2316,0.1529,0.6164,0.2882,0.417,0.1609,0.3463,0.1435,0.4491,0.545,0.40745,0.37805
True,27693,103899,Miami (FL),Hurricanes,0.1836,0.1365,0.6476,0.3091,0.3636,0.2021,0.339,0.1549,0.5112,0.5353,0.33399,0.2947
True,27693,104303,Syracuse,Orange,0.2148,0.1833,0.7,0.2259,0.3764,0.2164,0.3977,0.154,0.4423,0.5417,0.40369,0.34904
False,27693,104303,Syracuse,Orange,0.23,0.159,0.6637,0.2604,0.3205,0.181,0.3333,0.1166,0.4414,0.523,0.442,0.31759
True,38409,104405,Virginia,Cavaliers,0.253,0.0802,0.6335,0.2669,0.3741,0.1679,0.3921,0.1371,0.4348,0.5333,0.42814,0.37518
False,38409,104405,Virginia,Cavaliers,0.2271,0.1164,0.6307,0.3158,0.4303,0.1946,0.2655,0.1022,0.5104,0.5543,0.38741,0.34128
False,38409,103966,NC State,Wolfpack,0.2456,0.1461,0.6389,0.2922,0.4365,0.2603,0.3445,0.1212,0.5525,0.5435,0.32638,0.34281
True,38409,103966,NC State,Wolfpack,0.257,0.1516,0.6343,0.2236,0.4263,0.2492,0.3658,0.1657,0.4727,0.5247,0.36151,0.32154
True,33533,104405,Virginia,Cavaliers,0.2322,0.104,0.6273,0.336,0.3948,0.132,0.3516,0.1756,0.468,0.5617,0.35637,0.34976
False,33533,104405,Virginia,Cavaliers,0.2642,0.1103,0.5867,0.2621,0.3905,0.1835,0.3434,0.1543,0.4455,0.5059,0.40012,0.34061
True,27693,103996,North Carolina,Tar Heels,0.238,0.2033,0.6343,0.3445,0.3333,0.1922,0.365,0.1846,0.5367,0.5265,0.27875,0.31827
False,27693,103996,North Carolina,Tar Heels,0.2576,0.1468,0.6045,0.2843,0.3642,0.1932,0.3402,0.139,0.4775,0.5072,0.38351,0.35038
True,41097,104026,Notre Dame,Fighting Irish,0.2691,0.1147,0.6646,0.2752,0.4012,0.1857,0.3155,0.1039,0.4608,0.5585,0.43524,0.35632
False,41097,104026,Notre Dame,Fighting Irish,0.272,0.156,0.6732,0.2555,0.3896,0.1725,0.4343,0.098,0.428,0.5589,0.47395,0.33215
True,33533,104026,Notre Dame,Fighting Irish,0.2208,0.0953,0.6403,0.2415,0.4527,0.1907,0.3452,0.1377,0.4322,0.5575,0.43005,0.35832
False,33533,104026,Notre Dame,Fighting Irish,0.2242,0.1302,0.6893,0.2766,0.4179,0.2095,0.3697,0.1525,0.486,0.5724,0.36144,0.34324
True,36046,104405,Virginia,Cavaliers,0.2225,0.0901,0.6011,0.2856,0.385,0.1982,0.3343,0.1902,0.4838,0.5126,0.32591,0.35772
False,36046,104405,Virginia,Cavaliers,0.2148,0.1144,0.5996,0.2781,0.3862,0.185,0.3294,0.1413,0.4632,0.5144,0.39557,0.30532
True,30629,104405,Virginia,Cavaliers,0.2321,0.0847,0.6081,0.3126,0.4067,0.1797,0.4274,0.2082,0.4923,0.5346,0.29945,0.32294
False,30629,104405,Virginia,Cavaliers,0.2412,0.115,0.6169,0.3203,0.3518,0.1667,0.311,0.1379,0.487,0.5262,0.37514,0.33575
True,38409,103899,Miami (FL),Hurricanes,0.2151,0.1616,0.67,0.2704,0.4787,0.1774,0.4337,0.1671,0.4478,0.5942,0.38507,0.3132
False,38409,103899,Miami (FL),Hurricanes,0.2151,0.1349,0.686,0.3105,0.4532,0.1863,0.3717,0.104,0.4967,0.5987,0.39924,0.397
False,38409,104407,Virginia Tech,Hokies,0.2286,0.1375,0.6415,0.3203,0.4403,0.161,0.4205,0.1071,0.4813,0.5742,0.41154,0.32577
True,38409,104407,Virginia Tech,Hokies,0.2601,0.098,0.656,0.2812,0.388,0.1783,0.3388,0.1361,0.4595,0.552,0.40439,0.35049
True,30629,103616,Florida St.,Seminoles,0.2407,0.1687,0.6652,0.2416,0.4579,0.2383,0.2857,0.1786,0.4799,0.5622,0.34148,0.33068
False,30629,103616,Florida St.,Seminoles,0.2355,0.1503,0.6407,0.247,0.4297,0.2171,0.325,0.1131,0.4641,0.542,0.42284,0.36898
True,38409,104413,Wake Forest,Demon Deacons,0.2486,0.1335,0.6473,0.2896,0.4497,0.2233,0.4083,0.1347,0.5129,0.5613,0.35241,0.28503
